Algorithm,Best Total Time (Transfer + Computation),Elapsed Time (seconds),Peak Memory Used (KB)
Greedy Algorithm,11.0,0.0020537376403808594,13.140625
Simulated Annealing,11.0,0.060260772705078125,14.84765625
Genetic Algorithm,18.0,0.1318683624267578,54.8486328125
Grid Search,10.0,0.542111873626709,1483.765625
Particle Swarm Optimization (PSO),16.0,0.22798418998718262,44.109375
Ant Colony Optimization (ACO),10.0,1.1417834758758545,22.4921875
Branch and Bound,10.0,0.0020008087158203125,18.390625
Hill Climbing,22.0,0.06798362731933594,8.109375
Random Search,15.0,0.05827498435974121,7.8681640625
Tabu Search,15.0,0.6856732368469238,20.23828125
